item-app-1  | 2026-07-01T06:06:01.462459216Z 
item-db-1   | 2026-07-01T06:05:55.428279521Z 2026-07-01T06:05:55.427+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=82d2de0d10b1
item-db-1   | 2026-07-01T06:05:55.428312457Z 2026-07-01T06:05:55.428+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db-1   | 2026-07-01T06:05:55.428315482Z 2026-07-01T06:05:55.428+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-app-1  | 2026-07-01T06:06:01.462584375Z > docker-software-delivery@1.0.0 start /app
item-app-1  | 2026-07-01T06:06:01.462588795Z > node ./bin/www
item-db-1   | 2026-07-01T06:05:55.428317551Z 2026-07-01T06:05:55.428+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db-1   | 2026-07-01T06:05:55.428319342Z 2026-07-01T06:05:55.428+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db-1   | 2026-07-01T06:05:55.428321053Z 2026-07-01T06:05:55.428+0000 I CONTROL  [initandlisten] modules: none
item-db-1   | 2026-07-01T06:05:55.428322870Z 2026-07-01T06:05:55.428+0000 I CONTROL  [initandlisten] build environment:
item-db-1   | 2026-07-01T06:05:55.428324652Z 2026-07-01T06:05:55.428+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db-1   | 2026-07-01T06:05:55.428326317Z 2026-07-01T06:05:55.428+0000 I CONTROL  [initandlisten]     distarch: x86_64
item-db-1   | 2026-07-01T06:05:55.428328001Z 2026-07-01T06:05:55.428+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-app-1  | 2026-07-01T06:06:01.462590543Z 
item-app-1  | 2026-07-01T06:06:01.686902584Z NODE_ENV: production
item-app-1  | 2026-07-01T06:06:01.725441922Z Connected to database
item-app-1  | 2026-07-01T06:06:01.845264076Z [0mGET /api [32m200 [0m8.868 ms - 73[0m
item-db-1   | 2026-07-01T06:05:55.428329673Z 2026-07-01T06:05:55.428+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db-1   | 2026-07-01T06:05:55.428886800Z 2026-07-01T06:05:55.428+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
item-db-1   | 2026-07-01T06:05:55.428910883Z 2026-07-01T06:05:55.428+0000 I STORAGE  [initandlisten] 
item-db-1   | 2026-07-01T06:05:55.428917626Z 2026-07-01T06:05:55.428+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db-1   | 2026-07-01T06:05:55.428934621Z 2026-07-01T06:05:55.428+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db-1   | 2026-07-01T06:05:55.428947263Z 2026-07-01T06:05:55.428+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3385M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
